question,answer
What is padding?,"Padding is the addition of extra layers of zeros around the input data, commonly used in convolutional neural networks (CNNs) to preserve spatial information during convolution."
Sigmoid Vs Softmax,"Sigmoid is used for binary classification, while Softmax is used for multi-class classification problems. Softmax converts raw scores into probabilities, ensuring they sum to 1 for multiple classes."
What is PoS Tagging?,"Part-of-Speech (PoS) tagging is the process of assigning a part of speech (e.g., noun, verb) to each word in a sentence. It helps in understanding the syntactic structure of a sentence."
What is tokenization?,"Tokenization is the process of breaking down text into individual units, such as words or subwords, for analysis."
What is topic modeling?,Topic modeling is a technique in natural language processing (NLP) to identify topics present in a text corpus. Common methods include Latent Dirichlet Allocation (LDA) and Non-Negative Matrix Factorization (NMF).
What is back propagation?,"Backpropagation is the training algorithm for neural networks, where the error is propagated backward, updating the weights to minimize the difference between predicted and actual outputs."
What is the idea behind GANs?,"Generative Adversarial Networks (GANs) consist of a generator and a discriminator trained simultaneously through adversarial training. The generator aims to produce realistic data, while the discriminator tries to distinguish real from fake."
What is the Computational Graph?,"A computational graph is a visual representation of mathematical operations in a neural network. Nodes represent operations, and edges represent the flow of data between them."
"What is sigmoid, and what does it do?","Sigmoid is an activation function that squashes input values between 0 and 1. It is often used in the output layer of a binary classification model, providing probabilities."
What is Named-Entity Recognition?,"Named-Entity Recognition (NER) is a task in NLP that involves identifying and classifying named entities (e.g., names of people, organizations) in text."
Explain the masked language model.,"A masked language model is a type of language model where certain words in a sentence are masked, and the model is trained to predict these masked words based on context."
How do you preprocess text in NLP?,"Text preprocessing in NLP includes tasks like tokenization, lowercasing, removing stop words, stemming, and lemmatization to prepare text data for analysis."
How do you extract features in NLP?,"Features in NLP can be extracted through methods like TF-IDF, word embeddings (Word2Vec, GloVe), and more advanced techniques like BERT embeddings."
How is wordvec different from Glove?,"Word2Vec and GloVe are both methods to create word embeddings. Word2Vec is based on neural networks, while GloVe is based on global word-word co-occurrence statistics."
What Are the Different Layers on CNN?,"Common layers in a CNN include convolutional layers, pooling layers, and fully connected layers."
What makes CNNs translation invariant?,"CNNs are translation invariant due to the use of shared weights in convolutional layers, allowing the model to recognize patterns regardless of their position in the input."
How is fastText different from wordvec?,"FastText is an extension of Word2Vec that considers subword information, making it suitable for handling out-of-vocabulary words and morphological variations."
Explain Generative Adversarial Network.,"GANs consist of a generator and a discriminator trained adversarially. The generator creates realistic data, while the discriminator aims to distinguish real from fake, leading to improved generative performance."
What is backward and forward propagation?,"Forward propagation is the process of passing input data through the network to generate predictions, while backward propagation is the process of updating weights by propagating the error backward during training."
What are Syntactic and Semantic Analysis?,"Syntactic analysis deals with the structure of sentences, while semantic analysis focuses on the meaning of words and sentences."
What is a local optimum?,A local optimum is a point in the parameter space where the function has a lower value than its neighbors but is not necessarily the global minimum.
Explain gates used in LSTM with their functions.,"LSTM (Long Short-Term Memory) networks use gates such as input gate, forget gate, and output gate to regulate the flow of information through the cell state, enabling the model to capture long-term dependencies."
"What is ReLU, and how is it better than sigmoid or tanh?",ReLU (Rectified Linear Unit) is an activation function that introduces non-linearity and helps with the vanishing gradient problem. It is computationally efficient and often performs better than sigmoid or tanh.
"What is transfer learning, and have you used it before?","Transfer learning involves using pre-trained models on a different task to boost performance on a new, related task. Yes/No depending on personal experience."
"What is multi-task learning, and when should it be used?","Multi-task learning involves training a model to perform multiple tasks simultaneously. It should be used when tasks have related features, and learning them together can improve overall performance."
Difference between convex and non-convex cost function.,"Convex cost functions have a single global minimum, while non-convex functions may have multiple minima. Training neural networks involves dealing with non-convex optimization problems."
Why do we remove stop words? When do we not remove them?,"Stop words (common words like ""the,"" ""and"") are removed to focus on meaningful words. They may not be removed when maintaining context, as in some information retrieval tasks."
"Explain the difference between an epoch, a batch, and an iteration.","An epoch is a complete pass through the entire training dataset. A batch is a subset of the dataset processed together, and an iteration is the number of batches processed in one epoch."
What is the difference between NLP and NLU?,"NLP (Natural Language Processing) deals with the interaction between computers and human language, while NLU (Natural Language Understanding) focuses on extracting meaning from language."
"For online learning, which one would you prefer: SGD or Adagrad, and why?","SGD (Stochastic Gradient Descent) is often preferred for online learning due to its faster updates and adaptability to changing data distributions. Adagrad may accumulate historical gradients, leading to less adaptability."
